xname yname prname i.fold nfolds nrepeats i.fold.inn nfolds.inn nrepeats.inn
1 eff.vals surv.grps predictorConstant 1 5 10 0 5 1
2 fun.vals surv.grps predictorConstant 1 5 10 0 5 1
3 genes.vals surv.grps predictorConstant 1 5 10 0 5 1
4 go.vals surv.grps predictorConstant 1 5 10 0 5 1
5 path.genes.vals surv.grps predictorConstant 1 5 10 0 5 1
6 other.genes.vals surv.grps predictorConstant 1 5 10 0 5 1
7 path.vals surv.grps predictorConstant 1 5 10 0 5 1
8 eff.and.other.genes.vals surv.grps predictorConstant 1 5 10 0 5 1
9 path.and.other.genes.vals surv.grps predictorConstant 1 5 10 0 5 1
10 eff.vals surv.grps predictorGBM 1 5 10 0 5 1
11 fun.vals surv.grps predictorGBM 1 5 10 0 5 1
12 genes.vals surv.grps predictorGBM 1 5 10 0 5 1
13 go.vals surv.grps predictorGBM 1 5 10 0 5 1
14 path.genes.vals surv.grps predictorGBM 1 5 10 0 5 1
15 other.genes.vals surv.grps predictorGBM 1 5 10 0 5 1
16 path.vals surv.grps predictorGBM 1 5 10 0 5 1
17 eff.and.other.genes.vals surv.grps predictorGBM 1 5 10 0 5 1
18 path.and.other.genes.vals surv.grps predictorGBM 1 5 10 0 5 1
19 eff.vals surv.grps predictorKendallSVM 1 5 10 0 5 1
20 fun.vals surv.grps predictorKendallSVM 1 5 10 0 5 1
21 genes.vals surv.grps predictorKendallSVM 1 5 10 0 5 1
22 go.vals surv.grps predictorKendallSVM 1 5 10 0 5 1
23 path.genes.vals surv.grps predictorKendallSVM 1 5 10 0 5 1
24 other.genes.vals surv.grps predictorKendallSVM 1 5 10 0 5 1
25 path.vals surv.grps predictorKendallSVM 1 5 10 0 5 1
26 eff.and.other.genes.vals surv.grps predictorKendallSVM 1 5 10 0 5 1
27 path.and.other.genes.vals surv.grps predictorKendallSVM 1 5 10 0 5 1
28 eff.vals surv.grps predictorKNN 1 5 10 0 5 1
29 fun.vals surv.grps predictorKNN 1 5 10 0 5 1
30 genes.vals surv.grps predictorKNN 1 5 10 0 5 1
31 go.vals surv.grps predictorKNN 1 5 10 0 5 1
32 path.genes.vals surv.grps predictorKNN 1 5 10 0 5 1
33 other.genes.vals surv.grps predictorKNN 1 5 10 0 5 1
34 path.vals surv.grps predictorKNN 1 5 10 0 5 1
35 eff.and.other.genes.vals surv.grps predictorKNN 1 5 10 0 5 1
36 path.and.other.genes.vals surv.grps predictorKNN 1 5 10 0 5 1
37 eff.vals surv.grps predictorLDA 1 5 10 0 5 1
38 fun.vals surv.grps predictorLDA 1 5 10 0 5 1
39 genes.vals surv.grps predictorLDA 1 5 10 0 5 1
40 go.vals surv.grps predictorLDA 1 5 10 0 5 1
41 path.genes.vals surv.grps predictorLDA 1 5 10 0 5 1
42 other.genes.vals surv.grps predictorLDA 1 5 10 0 5 1
43 path.vals surv.grps predictorLDA 1 5 10 0 5 1
44 eff.and.other.genes.vals surv.grps predictorLDA 1 5 10 0 5 1
45 path.and.other.genes.vals surv.grps predictorLDA 1 5 10 0 5 1
46 eff.vals surv.grps predictorLinearSVM 1 5 10 0 5 1
47 fun.vals surv.grps predictorLinearSVM 1 5 10 0 5 1
48 genes.vals surv.grps predictorLinearSVM 1 5 10 0 5 1
49 go.vals surv.grps predictorLinearSVM 1 5 10 0 5 1
50 path.genes.vals surv.grps predictorLinearSVM 1 5 10 0 5 1
51 other.genes.vals surv.grps predictorLinearSVM 1 5 10 0 5 1
52 path.vals surv.grps predictorLinearSVM 1 5 10 0 5 1
53 eff.and.other.genes.vals surv.grps predictorLinearSVM 1 5 10 0 5 1
54 path.and.other.genes.vals surv.grps predictorLinearSVM 1 5 10 0 5 1
55 eff.vals surv.grps predictorLogitLasso 1 5 10 0 5 1
56 fun.vals surv.grps predictorLogitLasso 1 5 10 0 5 1
