"x"	"y"	"type"	"predictor"	"rank"	"feat"	"varimp"
"1"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	1	"X_6944"	3.38592810310966
"2"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	2	"X_150356"	3.15706437046994
"3"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	3	"X_340273"	3.14331444208483
"4"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	4	"X_8543"	2.92844326308575
"5"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	5	"X_4976"	2.85697931439448
"6"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	6	"X_84057"	2.83243272455842
"7"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	7	"X_65992"	2.7169747450986
"8"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	8	"X_2532"	2.64952154220694
"9"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	9	"X_554"	2.60731568029361
"10"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	10	"X_7203"	2.58683841393957
"11"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	11	"X_1960"	2.52541113288618
"12"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	12	"X_5876"	2.4800173086352
"13"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	13	"X_9314"	2.45290796806194
"14"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	14	"X_3872"	2.44978191504954
"15"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	15	"X_1020"	2.43103668939763
"16"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	16	"X_22915"	2.38563519720402
"17"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	17	"X_125"	2.32712063769443
"18"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	18	"X_115939"	2.31335907476133
"19"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	19	"X_3068"	2.30154247932491
"20"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	20	"X_10188"	2.29860666777585
"21"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	21	"X_202333"	2.29309084596669
"22"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	22	"X_79174"	2.13510645094762
"23"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	23	"X_811"	2.12158553406508
"24"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	24	"X_130733"	2.11461912443873
"25"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	25	"X_441531"	2.11247591077296
"26"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	26	"X_7257"	2.05536764837261
"27"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	27	"X_22893"	2.02326160056122
"28"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	28	"X_1395"	1.98126521728624
"29"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	29	"X_467"	1.96667855315661
"30"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	30	"X_50940"	1.95108257239591
"31"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	31	"X_6403"	1.94904011916163
"32"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	32	"X_221303"	1.91852205043907
"33"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	33	"X_400830"	1.89602096303223
"34"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	34	"X_55341"	1.89044179410895
"35"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	35	"X_3491"	1.8768419613298
"36"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	36	"X_9079"	1.86081488319586
"37"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	37	"X_11190"	1.86058600990582
"38"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	38	"X_3347"	1.84377527986593
"39"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	39	"X_80726"	1.8198103514483
"40"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	40	"X_23020"	1.80809899512211
"41"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	41	"X_149647"	1.80138877432285
"42"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	42	"X_1431"	1.79941140228193
"43"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	43	"X_387914"	1.78529834996682
"44"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	44	"X_550643"	1.78355052551051
"45"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	45	"X_115207"	1.76739618867989
"46"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	46	"X_84618"	1.75958099809431
"47"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	47	"X_126393"	1.75309863172417
"48"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	48	"X_4239"	1.74863288098852
"49"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	49	"X_5709"	1.74609538362856
"50"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	50	"X_401052"	1.73843326186147
